SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30_59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60_89DaysPastDueNotWorse,NumberOfDependents
0,0.398310697,65,0,0.4334509,5386,16,0,0,0,0
0,0.081280535,63,1,0.441252117,15940,22,0,5,0,1
0,0.037915017,40,0,1.579545455,1583,14,0,3,0,0
0,0.9999999,32,0,0.014133058,2900,0,0,0,0,0
0,0.05924195,51,0,0.358914427,7700,6,0,2,0,2
0,0,78,0,0.748603352,3400,2,0,1,0,0
0,0.248501348,66,0,0.829827916,4183,17,0,3,0,0
0,0.062886246,37,0,0.878877888,3029,6,0,2,0,0
0,0.243426286,51,0,0.584371052,11081,7,0,2,0,2
0,0.512038648,46,1,0.321495069,14500,9,0,2,1,2
0,0.015856388,74,0,0.009059669,3200,9,0,0,0,0
0,0.174915833,34,0,0.243837442,1500,6,0,0,0,0
0,0.203512976,41,0,0.561815106,13596,15,0,6,0,0
0,0.031825066,64,0,0.363629084,12487,11,0,4,0,0
0,0.122225124,51,0,0.60255418,2583,6,0,0,0,2
0,0.9999999,72,0,0.148870182,2256,3,0,0,0,0
0,0.9999999,43,0,0.004163197,1200,0,0,0,0,0
0,0.9999999,49,1,0.276734694,1224,6,0,0,0,0
0,0.549341773,40,0,0.133621254,7640,6,0,0,0,2
0,0.20784972,50,0,0.35834478,11647,4,0,1,0,4
0,0.038863814,78,1,0.010497376,4000,4,0,0,0,0
0,0.9999999,25,0,0.07293595,2700,1,0,0,0,0
0,0.248722411,42,0,0.854271357,4576,7,0,1,0,2
0,0.784337179,48,0,0.487948637,9500,13,0,2,0,0
0,0.075492958,40,0,0.055662956,15000,6,0,0,0,0
0,0.9999999,55,1,1.520953164,1216,4,0,3,0,0
0,0.017054866,80,0,0.098852604,10196,15,0,1,0,0
0,0.404801425,56,0,0.038004622,110775,12,0,2,0,0
0,0.0049999,56,0,0.763874009,4666,20,0,2,0,0
0,0.19177938,38,0,0.491754123,2000,8,0,1,0,0
0,0.307869213,53,1,0.424597764,11000,6,0,3,0,1
1,0.7509038,30,1,0.120606155,6400,6,1,0,0,0
0,0.9999999,48,1,0.025095602,4183,1,2,0,0,1
0,0.069946503,52,0,0.411379987,4586,5,0,1,0,0
0,0.002748573,48,2,0.14913427,12243,19,0,2,0,2
0,0.111418782,39,0,0.339053997,14333,14,0,2,0,3
0,0.930901464,61,0,0.633346661,2500,6,0,1,0,0
0,0,35,0,0.763024031,5700,9,0,1,0,2
0,0.194143124,54,0,0.453626635,5045,12,0,2,0,0
0,0,77,0,0.331586737,25000,16,0,3,0,2
0,0.041064842,26,0,0.666260658,820,5,0,0,0,0
0,0.100546528,40,0,0.480258014,5115,20,0,2,0,0
0,0.038592282,56,0,0.233554617,3313,6,0,0,0,1
0,0.00899907,57,0,0.155256316,15000,13,0,2,0,0
0,0.034699133,68,0,0.186703324,4000,7,0,1,0,0
0,1.026929743,30,0,0.318780203,6000,7,0,1,0,0
0,0.893872304,36,0,0.777777778,3500,10,0,1,0,0
0,0.256313203,44,0,0.730244184,5200,14,0,3,0,1
0,0.027963874,84,0,0.00879824,5000,4,0,0,0,0
0,0.9999999,33,1,0.160309563,3617,1,0,0,0,3
0,0.035658506,38,0,0.150106237,8000,7,0,3,0,0
0,0.081614871,49,0,0.172797585,5300,5,0,1,0,1
0,0.433934821,31,1,0.490823137,7191,11,0,2,0,1
1,0.078366845,52,1,0.06885759,5750,18,0,0,0,0
0,0.222343423,38,0,0.553217519,4086,4,0,1,0,2
0,0.213572854,51,0,0.059008655,5083,2,1,0,0,2
0,0.262451679,47,0,0.427285817,8333,12,0,2,0,2
0,0.094187313,48,0,0.053893946,6920,5,0,0,0,3
0,0.29679185,41,0,0.516183698,5900,12,0,1,0,0
0,0.587841216,33,0,0.304836895,2666,5,0,0,0,0
0,0.056885177,58,1,0.438935817,12666,16,0,2,0,0
0,0.487349163,41,0,0.277352018,13700,14,0,2,0,1
0,0.016939347,61,1,0.195331249,13750,6,0,1,0,0
0,0.149721264,39,0,0.303429586,10700,8,0,1,0,0
0,0.00055384,85,0,9.52e-05,10500,12,0,0,0,0
0,0.477829753,45,0,0.432628798,9083,16,0,2,0,0
0,0.976222345,30,0,0.284229284,3366,9,0,0,0,0
0,0.20190553,61,0,0.396864541,5676,23,0,1,0,0
0,0.204439778,62,0,0.301385516,7000,4,0,2,0,0
0,0.265680316,65,0,0.147795448,10500,17,0,1,0,0
0,0.793020698,54,0,0.458834858,2076,4,0,1,0,0
0,0.626373626,24,1,0.176328502,1655,5,0,0,1,0
0,0.9999999,37,0,0.028747604,12000,1,1,0,0,1
0,0.086287287,46,0,0.012102078,3800,6,0,0,0,0
1,1.097180564,49,3,0.257828505,6833,9,2,0,0,3
0,0.521747825,36,0,0.290536642,3465,5,0,0,0,2
0,0.144243533,65,0,0.593555992,12724,9,0,3,0,0
0,0.084091399,72,0,0.34362502,6250,16,1,1,0,0
0,0.701086594,44,0,0.1538042,3666,6,0,0,0,0
1,0.9999999,24,0,0,1100,0,0,0,0,0
0,0.9999999,37,1,0.153668666,6500,7,3,0,0,1
1,0.699471504,49,3,0.049985718,3500,4,2,0,0,2
0,0.03222829,58,0,0.004643963,2583,3,0,0,0,1
0,0.049511093,79,0,0.09115984,7250,7,0,1,0,0
0,0.233906437,24,0,0.020706456,820,2,0,0,0,0
0,0.165296601,29,1,0.01665405,1320,5,0,0,0,0
0,0.491221081,32,0,0.214108399,4833,10,0,0,0,0
0,0.170059453,77,0,0.331370384,8150,10,0,3,0,0
0,0.406932178,37,0,0.102753423,6500,5,0,0,0,3
0,0.567426889,54,2,0.110901611,5833,8,0,0,0,0
0,0.9999999,28,0,0.118822876,1800,3,0,0,0,0
0,0.828028246,33,1,0.512581547,4291,8,0,0,0,2
0,0.520957479,54,2,0.148819895,12625,7,0,2,0,1
0,0.254232769,49,0,0.579759217,5315,9,0,2,0,0
0,0.366977525,54,0,0.283059328,5595,9,0,1,0,0
0,0.899524668,61,0,0.053947094,4800,4,1,0,0,0
0,0.253149952,48,0,0.054771692,9000,2,0,0,0,2
0,0.040135057,75,0,0.52029245,6701,14,0,1,0,0
0,0.159371985,62,0,0.227208976,1425,9,0,0,0,0
0,0.047437186,67,0,0.249266862,3750,6,0,1,0,0
0,0,57,0,0.19012954,26786,8,0,1,0,3
0,0.036169621,60,0,0.23425225,7000,10,0,1,0,1
0,0.612718304,59,0,1.810940499,2083,12,0,2,0,0
0,0.826790407,80,0,0.447373205,5500,9,2,2,0,0
0,0.9999999,49,0,0.39734448,4066,5,0,1,0,0
0,0.941893022,29,1,0.550966275,7916,9,0,1,0,1
0,0.529388245,33,0,0.450645564,2400,7,0,1,0,1
0,0.029268912,31,0,0.367322776,6756,7,0,1,0,0
0,0.104412316,55,0,0.206264999,7916,5,0,1,0,1
0,0.176649946,34,0,0.581882481,3675,8,0,1,0,1
0,0.649139619,40,0,0.319209712,4200,5,0,0,0,6
0,0.970320362,74,0,0.113946978,6072,6,0,0,0,1
0,0.948207171,43,2,0.059990245,6150,2,0,0,0,4
0,0.9999999,24,0,0.069129109,2950,2,0,0,0,0
0,0.121919951,42,0,0.267147226,4577,12,0,1,0,0
0,0.041911829,39,0,2.855920114,700,10,0,2,0,2
0,0.939890225,40,3,0.924614744,2400,15,0,0,1,3
0,0,57,0,0.561218335,3315,20,0,2,0,0
1,0.976900534,32,0,0.214566226,2800,5,0,0,0,0
0,0.027065376,55,0,0.228706405,7196,17,0,2,0,0
0,0.803406146,31,0,0.137931034,2000,4,0,0,0,3
0,0.793697686,54,1,0.213893053,2000,5,0,0,0,1
0,0.387184862,64,0,0.302843016,11325,14,0,1,0,1
0,0.040743034,67,0,0.569620253,1500,8,0,1,0,0
0,0.488495307,60,1,0.804259439,5164,6,1,1,1,0
0,0.074792521,71,1,0.631342613,2226,7,0,1,0,0
0,0.535972791,66,0,0.957708385,4066,10,0,3,0,0
0,0.005162738,71,0,0.267748028,9000,13,0,3,0,0
0,0.001181782,55,0,0.301587302,8000,6,0,1,0,2
0,0.136275951,56,0,0.473514779,6833,13,0,2,0,4
0,0.682439799,42,0,0.362479549,5500,5,0,1,0,3
0,0.765942251,39,0,0.13439113,5230,4,0,0,0,2
0,0.257010316,64,0,0.354978792,9901,18,0,3,0,0
0,0.013253862,54,0,0.025373225,49500,9,0,3,0,1
0,0.605635844,57,0,1.112083569,7083,27,0,1,0,2
0,0.35831464,39,1,0.136975296,4978,3,0,0,0,0
1,0.456954305,48,0,0.58022184,6400,7,0,2,0,1
0,0.002841132,62,0,0.036148285,6500,19,0,1,0,0
0,1.081836327,31,0,0.444928237,6200,8,0,2,0,0
0,0.734227847,37,0,0.888467015,4213,7,0,1,0,3
0,0,30,0,0.009715475,1440,6,0,0,0,0
0,0.971990818,50,0,0.454807934,7965,12,0,1,1,1
0,0.094851028,69,0,0.197281204,8900,11,0,0,0,0
0,0.395206857,43,0,0.558449612,9674,17,0,2,0,2
0,0.9999999,30,0,0.094446349,5833,3,0,0,0,0
1,0.615692303,73,1,0.82829582,3109,15,0,1,1,0
0,0.109219099,33,0,0.249900008,12500,22,0,2,0,0
0,0.034484152,44,0,0.114104223,8500,5,0,1,0,2
0,0.086395063,37,0,0.105496808,20047,4,0,3,0,0
0,0.047626102,31,0,0.276400679,2944,5,0,0,0,1
0,0.078287413,50,0,0.533058368,8000,11,0,4,0,0
0,0.9999999,44,0,0.438049209,2275,2,0,1,0,2
0,0.322655911,43,0,1.141285871,10000,4,0,1,0,3
0,0.010844561,60,0,0.099380124,5000,10,0,0,0,0
0,0.048290324,60,0,0.416482606,7243,10,0,1,0,2
0,0.02561727,60,0,0.395901025,4000,11,0,1,0,0
0,0.10607561,63,0,0.228136297,13000,10,0,2,0,0
0,0.322861139,61,0,0.168285203,7825,5,0,1,0,3
0,0,97,0,0,0,3,0,0,0,0
1,0.9999999,49,2,0.636675236,3500,2,1,2,1,0
0,0,58,2,0.32906055,5928,10,0,2,0,0
0,0.542063333,35,0,0.438797159,10840,7,0,3,0,0
0,0.587341312,71,0,0.269693978,10129,9,0,0,0,0
0,0.854731046,54,0,0.4679594,6600,12,0,1,0,1
0,0.035452698,65,0,0.116895262,6415,10,0,1,0,1
0,0.448851748,41,0,0.253955696,6319,9,0,0,0,2
0,0.568248278,42,1,0.566621438,3684,9,0,1,1,3
0,0.016426026,91,0,0.079706695,10500,16,0,1,0,0
0,0.943309873,73,0,3.629550321,466,6,0,0,0,0
0,0.502123542,50,0,0.406088902,10280,11,0,1,0,0
0,0.9999999,53,0,0.15185624,5063,3,1,0,0,1
0,0.508070195,46,0,0.2887078,5153,4,0,1,0,1
0,0.9999999,51,0,0.013747228,2254,0,1,0,0,0
0,0.157473754,29,0,0.003612437,7750,1,0,0,0,0
0,0.442936009,52,0,0.321512264,6400,8,0,1,0,0
0,0.777875329,48,0,0.51069786,5000,11,0,2,0,1
0,0.24352879,73,0,0.154827208,14583,16,0,1,0,0
0,0.613173114,65,0,0.633341665,4000,21,0,1,0,0
0,0.052236941,44,0,0.373005965,7208,5,0,1,0,0
0,0.336171041,64,1,0.237646863,12000,13,0,1,0,0
1,0.711193568,32,1,0.03334423,3058,4,0,0,1,1
0,0.136435679,51,0,0.171140681,13000,11,1,2,0,3
0,0.754831121,57,0,0.087686912,5416,8,1,0,1,1
0,0.07265324,45,0,0.568580351,4162,19,0,1,0,1
0,0.014416061,64,0,0.004123454,8002,5,0,0,0,0
1,0.754983923,39,1,0.388264476,12900,13,0,2,0,2
0,0.005663257,69,0,0.247813411,4801,13,0,2,0,0
1,1.059646784,52,5,0.529310582,14533,21,2,2,2,2
0,0.061178057,66,0,0.239278614,7041,12,0,1,0,0
0,0.9999999,28,0,0.119359534,2060,1,0,0,0,3
0,0.379539355,51,0,0.571811631,5966,13,0,3,0,0
1,0,67,0,0.275995575,1807,7,0,0,0,0
0,0,64,0,0.49657869,9206,14,0,2,0,3
0,0,63,0,0.436344611,8600,6,0,1,0,0
0,0.199838968,67,0,0.332303391,13592,18,0,2,0,0
0,0.811879208,59,0,0.731139793,5500,9,0,2,0,0
0,0.043365221,39,0,0.361939677,6000,6,0,1,0,0
0,0.280629249,76,0,0.037201555,1800,1,0,0,0,0
0,0.9999999,49,0,0.518591968,6050,6,0,2,0,2
0,0.693329524,34,0,0.126636515,4200,7,0,0,0,0
0,0.107831373,51,0,0.009088843,4400,3,0,0,0,2
0,0.033430967,61,0,0.001737116,5180,3,0,0,0,1
0,0.99850075,27,4,0.477015323,1500,11,3,0,0,0
0,0.092963568,51,0,0.00789177,11530,4,0,0,0,3
0,0.019468165,34,0,0.12138522,2800,6,0,0,0,0
0,0.623723819,35,0,0.534225504,6500,9,0,3,0,1
0,0.067058197,47,0,0.16600755,11125,12,0,1,0,3
0,0.844003355,46,0,0.260423441,13838,11,0,1,1,2
0,0.693984405,32,0,0.456059204,6485,16,0,2,0,0
0,0.0799968,59,0,0.18224734,15039,6,0,1,0,2
0,0.075056906,63,1,0.025444766,4833,10,0,0,0,1
0,0.806519348,40,0,0.736427683,2412,5,2,1,0,3
0,0.010092677,56,0,0.093145069,4390,14,0,0,0,0
1,0.603218624,47,2,0.453640578,7333,11,1,2,4,0
1,0,25,0,0.101092896,1463,4,0,0,0,1
0,0.128777416,31,0,0.027588964,2500,3,0,0,0,0
0,0.9999999,39,0,0.14528703,1410,1,0,0,0,3
1,1.009092719,33,1,0.661112535,3900,6,0,2,2,0
0,0.988743179,65,0,0.306432564,12700,8,0,2,0,3
0,0.042882966,54,0,0.145134228,4767,7,0,1,0,0
0,0.9999999,52,0,0.153163152,900,0,0,0,0,0
0,0.45762149,71,1,0.396286107,7269,8,0,2,0,0
0,0.203321825,51,0,0.281721632,3577,5,0,1,0,2
0,0.9999999,24,1,0.057484032,3600,1,1,0,0,4
0,0.045149298,69,0,0.017592963,2500,4,0,0,0,0
0,0.208259447,63,0,0.17877095,3400,10,0,1,0,0
0,0.056019692,53,0,0.411848381,11950,13,0,1,0,2
0,0.01418632,51,0,0.139965009,4000,5,0,1,0,3
0,0.530254642,85,0,0.847346172,2128,10,0,0,0,0
0,0.287571243,58,0,0.299071768,4416,3,0,1,0,3
0,0.688784761,39,1,1.189361441,8158,6,0,1,0,2
0,0.01469853,67,0,0.64028777,1667,8,0,1,0,0
0,0.097357248,55,0,0.182090895,20000,9,0,1,0,2
0,0.233091966,25,0,0.153167602,2493,8,0,0,0,0
0,0.068462792,47,1,0.432761206,6000,8,0,1,0,3
0,0,65,0,0,2971,2,0,0,0,0
0,0.896540231,38,1,0.500154623,9700,3,0,1,0,3
0,0.001900373,50,0,0.000279877,3572,10,0,0,0,0
0,0.015801142,68,0,0.302431266,4400,11,0,2,0,0
0,0.186809275,55,0,0.464274133,9250,14,0,2,0,4
0,0.017407523,68,0,0.170501181,8040,17,0,1,0,0
0,0.24374344,38,1,0.608195902,2000,9,0,0,0,0
0,0.178638012,31,0,0.244585138,3000,6,0,0,0,1
0,0.731596772,67,1,0.811272584,5091,25,0,2,0,1
0,8.05e-05,51,0,0.223714286,3499,10,0,1,0,0
0,0.378481986,57,1,0.55921504,7286,12,0,1,0,2
0,0.630364559,66,0,0.383781692,5166,6,0,1,0,0
0,0.41156231,32,0,0.320957862,16160,11,0,2,0,2
0,0.037141039,58,0,0.299245764,10208,11,0,4,0,1
0,0.047688639,51,0,0.399885747,3500,7,0,1,0,1
0,0.322154247,54,0,0.409646515,3026,12,0,1,0,0
0,0.9999999,25,0,0.24143964,4000,1,0,0,0,0
0,0.031022123,46,0,0.175625769,7310,5,0,1,1,0
0,0.00486375,60,0,0.519339516,4420,19,0,1,0,1
0,0.757241468,35,1,0.205271789,25000,7,0,2,0,0
0,0.9999999,51,0,0.257175881,5190,6,0,1,0,1
0,0.301342557,64,0,0.723206377,4515,12,0,1,0,0
0,0.98640136,51,0,0.591626974,3988,6,0,1,0,0
0,0.013113132,43,0,0.033288948,750,11,0,0,0,0
0,0.91093608,47,0,0.076549557,3500,4,0,0,0,1
0,0.24151914,56,0,0.55017452,4583,10,0,1,0,1
0,0.065048617,45,0,0.245786706,7416,7,0,2,0,2
0,0.078387744,61,0,0.229899834,18668,10,0,1,0,1
1,0.386377607,39,0,1.289177706,4000,13,0,2,0,2
0,0.099915825,44,0,0.398891967,15883,8,0,2,0,1
0,0,26,0,0.679738562,764,5,0,0,0,0
0,0.035980077,74,0,0.09736428,5083,11,0,0,0,0
0,0.605439456,44,0,0.079150579,6215,3,0,0,0,0
1,0.033427616,36,0,0.564356436,3938,11,0,1,0,0
0,0.019254986,63,0,0.306398417,6063,7,0,2,0,2
1,1.143237841,40,1,0.310949788,4958,7,0,1,0,1
0,0,44,0,0.425676576,7500,6,0,2,0,0
0,0.440495081,61,0,0.550336826,5343,7,0,2,0,0
0,0.095361616,60,0,0.248386229,7435,12,0,1,0,0
0,0.201571148,31,0,0.026656213,2550,5,0,0,0,0
0,0.062513871,36,0,2068,0,7,0,2,0,7
0,0.022974878,40,0,0.34681182,4500,5,0,1,0,1
0,0.029032296,65,0,0.019865841,3875,13,0,0,0,0
0,0.633425128,41,0,0.29466255,6800,8,0,1,0,0
0,0.55435102,48,0,0.373683271,5600,5,0,1,0,0
0,0.347314601,51,0,0.066011818,38583,6,0,1,0,0
0,0.04669533,53,0,0.328638092,11571,11,0,1,0,3
0,0.020200603,70,0,0.284126206,6116,12,0,2,0,1
0,0.01359268,48,1,0.282930313,9800,7,0,1,0,0
0,0.042570212,53,0,0.248706087,21832,8,0,3,0,1
1,0.9999999,29,0,0.259067358,5210,3,3,0,2,1
0,0,60,0,0.399385561,1301,4,0,1,0,0
0,0.255254595,41,5,0.433223825,7000,15,0,1,0,2
0,0.039143961,58,0,0.121890771,44383,10,0,2,0,1
0,0.038276255,62,0,0.015643803,2492,5,0,0,0,0
0,0,41,0,0.140714682,5400,6,0,1,0,0
0,0.121493925,51,0,0.033162258,2532,2,0,0,0,2
0,0.272057598,27,0,0.434206971,3700,3,0,1,0,2
0,0,55,0,0.927773203,8500,3,0,2,0,2
0,0.075384923,35,0,0.001609599,6833,2,0,0,0,0
0,0.025839946,81,0,0.014876801,2150,6,0,0,0,0
0,0.492848638,52,0,0.524622209,13300,18,0,4,0,3
0,0.037393886,52,0,0.002519798,8333,2,0,0,0,0
0,0.9999999,59,0,0.235585198,4647,8,0,1,0,0
0,0.023278465,48,0,0.239520093,6917,7,0,2,0,3
0,0.03316243,30,0,0.084749629,8766,10,0,0,0,0
0,0.015661446,31,0,0.184245824,8200,9,0,1,0,0
1,0,33,1,0.130345031,3390,2,0,0,1,0
0,0.349408084,46,0,0.694869625,13000,9,0,4,0,0
0,0.009815373,65,1,0.223946785,7666,9,0,2,0,1
0,0.258315953,58,0,0.283302559,15163,20,0,2,0,1
0,0.59049204,42,0,0.593934007,9000,20,0,2,0,0
1,0.836383837,37,1,0.486338798,8600,6,0,2,0,1
0,0.9999999,25,0,0.122798667,2100,1,0,0,0,0
0,0.058309615,53,0,0.091517857,3583,7,0,0,0,0
0,0.154006666,41,0,0.061115111,12500,3,0,0,0,1
0,0.35696893,63,0,0.183863227,3333,6,1,0,0,1
0,0.065751626,59,0,0.191137045,19022,10,0,2,0,2
0,0.214871257,51,0,0.349130174,5000,17,0,1,0,1
0,0.275873563,43,0,0.22072241,8000,5,0,1,0,3
1,0.007246721,74,0,1.591754651,1988,9,0,2,0,0
0,0.061232264,48,0,0.258544465,11761,8,0,2,0,2
0,0.015751595,45,0,0.003719702,8333,7,0,0,0,0
0,0.9999999,42,0,0.512534415,6900,11,0,5,0,6
0,0.249500998,25,0,0.205065541,4500,3,0,1,0,0
0,0.019160631,65,0,0.183547558,5834,8,0,2,0,1
0,0.9999999,41,0,0.449547017,3200,3,0,1,0,1
0,0.558471701,26,0,0.33289987,1537,5,0,0,0,0
0,0.837441706,40,0,0.051172708,7503,2,0,0,0,0
0,0.423677632,58,0,0.258870869,8200,9,0,1,0,0
0,0.0323967,65,0,0.129959357,10333,18,0,2,0,1
0,0.039074015,65,0,0.109006893,13200,6,0,1,0,0
0,0.038249037,79,0,0.36537077,2777,9,0,2,0,1
1,0.073747856,40,1,0.127971562,4500,6,1,0,0,0
0,0.002266516,36,0,0.142774096,8600,3,0,1,0,0
0,0.093123411,72,0,0.033124714,6550,7,0,0,0,0
0,0.15098982,57,1,0.486623706,10241,9,0,2,0,0
0,0,78,0,0.069572171,2500,4,0,0,0,0
0,0.029312611,36,0,0.2755482,4833,3,0,1,0,2
0,0,76,0,0,4000,8,0,0,0,0
0,0.152337262,48,0,0.166840242,4800,16,0,0,0,0
0,0.151052827,26,0,0.031593681,5000,4,0,0,0,0
0,0.00243733,60,0,0.202639868,6666,10,0,1,0,0
0,0.653875257,28,0,0.214699493,2761,6,0,0,0,3
0,0.109053567,63,0,0.417742229,5500,7,0,4,0,0
0,0.157148571,56,0,0.199862509,16000,9,0,2,0,0
0,0.856837686,53,0,0.315736297,3958,14,0,0,0,0
0,0.69096978,55,0,0.440170655,15000,12,0,1,0,0
0,0.190775535,57,0,0.550605157,5700,17,0,3,0,1
0,0,71,2,0.513692829,7083,20,0,4,0,0
0,0.192080876,34,0,0.402780387,5322,8,0,1,0,4
0,0.004422626,52,0,0.180327869,8600,17,0,1,0,0
0,0,53,0,0.416188183,5398,13,0,2,0,1
0,0,42,0,0.310228348,7400,10,0,2,0,0
0,0.377035133,37,1,0.017992803,2500,4,0,0,0,2
0,0.022646007,47,0,0.231442139,4000,6,0,0,0,4
0,0.356468629,32,0,0.005427021,3500,2,0,0,0,1
0,0.788249329,61,0,3.15206878,1860,15,0,3,0,0
0,0.066590182,73,0,0.487640033,10800,25,0,2,0,0
0,0,54,0,0.135067678,10416,7,0,2,0,0
0,0.086781797,75,0,0.496705294,4400,12,0,1,0,0
0,0.004229079,52,0,789,1,6,0,1,0,0
0,0.088963523,57,0,0.192147371,7436,8,0,2,0,0
1,0.727677844,43,1,0.696327684,5663,13,0,1,0,0
0,0,28,0,0.098367887,6800,4,0,1,0,2
0,0,57,0,0.372898978,5770,4,0,1,0,1
0,0.026015418,80,0,0.00668495,5833,7,0,0,0,0
0,0.019399224,40,0,0.344102054,6035,8,0,2,0,2
0,0.065345798,62,0,0.162893816,8569,7,0,1,0,0
0,1.018654231,46,1,0.200918762,4135,6,0,0,0,0
0,0.676783719,40,0,0.332632317,2852,12,0,0,0,0
0,0.427487759,32,0,0.38531848,3500,3,0,2,0,0
0,0.210526316,27,0,0.132216946,4000,6,0,0,0,0
0,0.102641021,54,0,0.184017279,2314,13,0,0,0,0
0,0.033205012,63,0,0.116571233,11700,5,0,1,0,1
0,0.381861814,25,0,0.144025443,2200,2,0,0,0,0
0,0.207622106,59,0,0.304178508,9500,23,0,2,0,0
0,0.773845231,58,0,0.095431536,16000,11,0,1,0,1
0,0.244581935,69,0,0.233468785,2706,17,0,0,0,0
0,0.236671754,45,0,0.837268666,3133,2,0,1,0,0
1,0.020732642,40,0,0.462585951,7416,9,0,2,0,2
0,0.660821412,57,0,0.615835777,3750,8,0,1,0,1
0,0.185725799,67,0,0.184110423,9200,6,0,1,0,1
0,0.00077622,53,0,0.266107422,8582,12,0,1,0,0
0,0.010016779,62,0,0.318800461,8669,15,0,2,0,0
0,0.472297911,42,0,0.108730584,3733,5,0,0,0,0
0,0,62,0,0.226893403,6350,4,0,2,0,0
0,0.093154277,62,0,0.17062635,4166,5,0,0,0,1
0,0.9999999,27,0,0.003271538,1833,0,0,0,0,0
0,0.661935685,54,0,1.048671402,3800,15,0,1,0,0
0,0.031346708,54,0,0.270152052,4800,8,0,1,0,2
0,0.237580423,75,0,0.18057437,7381,6,0,0,0,1
0,0,35,0,1.838390967,1416,7,0,1,0,0
0,0.79198391,51,0,0.15260274,3649,7,0,0,0,2
0,0.050352647,53,0,0.400977995,3680,9,0,2,0,1
0,0.964328771,56,0,0.487285373,4600,7,0,1,0,0
0,0.086801248,67,0,0.166277907,3000,7,0,0,0,1
0,0.266128481,35,0,0.232833465,3800,12,0,0,0,0
